고기,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
소 1 ++,2019,,,,,,11388,12001,12472,13043,13359,13148,13450,
소 1 ++,2020,13620,13730,13394,13117,13884,13458,14330,14229,14310,14531,14257,14597,
소 1 ++,2021,14744,15547,16105,15836,16058,16071,16334,16362,16593,17631,18213,18259,
소 1 ++,2022,15533,15723,15624,15840,15961,16336,16136,16013,15691,16107,15319,14728,
소 1 ++,2023,15421,14894,13234,13046,13875,13400,13595,13818,14258,13534,13599,13203,
소 1 ++,2024,13999,13873,13034,13211,13392,13376,13496,13523,13716,14104,13722,13763,
소 1 ++,2025,14203,14211,13763,13662,13626,13900,13973,,,,,,
소 1,2019,10646,10494,10648,10687,10355,10481,10672,10738,10890,10946,11260,11075,
소 1,2020,11405,11340,11787,11662,11480,12073,12375,12301,12663,12657,12910,12514,
소 1,2021,12627,13037,12660,13367,13134,13460,13592,13907,14486,15047,14998,14972,
소 1,2022,13862,13787,14016,13895,13685,13643,13458,13507,13075,13767,13647,13264,
소 1,2023,12793,12657,12134,12071,12301,12640,12596,12222,12662,12477,12604,12252,
소 1,2024,12643,12118,11922,12106,11989,11997,11754,11992,12153,12620,12480,12680,
소 1,2025,12882,12849,12326,12520,12111,12669,12773,,,,,,
돼지,2019,1723,1684,1690,1875,1977,1936,1931,1892,2056,1889,1680,1765,
돼지,2020,1690,1623,1887,1949,2273,2382,2325,2375,2345,2301,2131,2149,
돼지,2021,2112,2075,2044,2234,2451,2543,2599,2607,2635,2586,2522,2704,
돼지,2022,2501,2396,2314,2400,2802,2912,2781,2659,2723,2732,2581,2530,
돼지,2023,2465,2393,2199,2351,2639,2726,2662,2615,2662,2672,2547,2473,
돼지,2024,2348,2309,2229,2327,2377,2593,2715,2576,2671,2690,2568,2594,
돼지,2025,2561,2521,2481,2486,2587,2693,2693,,,,,,
닭,2019,5725,5692,5371,5316,5242,5160,5106,5190,5102,5283,5127,5129,
닭,2020,5097,5061,5126,5047,5081,5052,4977,5080,5358,5258,5217,5143,
닭,2021,5681,5760,5548,5471,5433,5309,5558,5693,5185,5464,5397,5090,
닭,2022,5409,5414,5820,6229,6105,5719,5670,5652,5526,5364,5385,5473,
닭,2023,5794,5917,6014,6156,6397,6439,6352,6216,6117,6150,5836,5754,
닭,2024,5683,5724,5868,5903,5868,5902,5984,6025,5895,5774,5154,5340,
닭,2025,5624,5682,5753,5718,5657,5568,5945,,,,,,
